book,sheet,county,party,candidate,votes
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonner,REP,Chris Christie,14
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonneville,REP,Chris Christie,29
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boundary,REP,Chris Christie,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Butte,REP,Chris Christie,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Camas,REP,Chris Christie,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Canyon,REP,Chris Christie,32
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Caribou,REP,Chris Christie,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Cassia,REP,Chris Christie,12
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clark,REP,Chris Christie,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clearwater,REP,Chris Christie,8
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Custer,REP,Chris Christie,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Elmore,REP,Chris Christie,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Franklin,REP,Chris Christie,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Fremont,REP,Chris Christie,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gem,REP,Chris Christie,8
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gooding,REP,Chris Christie,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Idaho,REP,Chris Christie,7
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jefferson,REP,Chris Christie,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jerome,REP,Chris Christie,8
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Kootenai,REP,Chris Christie,23
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Latah,REP,Chris Christie,9
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lemhi,REP,Chris Christie,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lewis,REP,Chris Christie,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lincoln,REP,Chris Christie,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Madison,REP,Chris Christie,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Minidoka,REP,Chris Christie,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Nez Perce,REP,Chris Christie,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Oneida,REP,Chris Christie,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Owyhee,REP,Chris Christie,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Payette,REP,Chris Christie,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Power,REP,Chris Christie,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Shoshone,REP,Chris Christie,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Teton,REP,Chris Christie,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Twin Falls,REP,Chris Christie,18
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Valley,REP,Chris Christie,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Washington,REP,Chris Christie,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Ada,REP,Chris Christie,68
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Adams,REP,Ted Cruz,292
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bannock,REP,Ted Cruz,4404
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bear Lake,REP,Ted Cruz,643
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Benewah,REP,Ted Cruz,671
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bingham,REP,Ted Cruz,3471
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Blaine,REP,Ted Cruz,370
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boise,REP,Ted Cruz,531
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonner,REP,Ted Cruz,3132
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonneville,REP,Ted Cruz,7794
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boundary,REP,Ted Cruz,901
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Butte,REP,Ted Cruz,275
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Camas,REP,Ted Cruz,75
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Canyon,REP,Ted Cruz,11164
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Caribou,REP,Ted Cruz,602
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Cassia,REP,Ted Cruz,2095
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clark,REP,Ted Cruz,62
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clearwater,REP,Ted Cruz,477
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Custer,REP,Ted Cruz,285
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Elmore,REP,Ted Cruz,892
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Franklin,REP,Ted Cruz,1173
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Fremont,REP,Ted Cruz,1434
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gem,REP,Ted Cruz,1391
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gooding,REP,Ted Cruz,863
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Idaho,REP,Ted Cruz,1495
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jefferson,REP,Ted Cruz,3080
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jerome,REP,Ted Cruz,1164
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Kootenai,REP,Ted Cruz,11924
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Latah,REP,Ted Cruz,2102
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lemhi,REP,Ted Cruz,597
